client_id,age,monthly_income,loan_amount,loan_term_months,gender,marital_status,education,has_house,has_car,default
1165,35,300,3000,6,Female,Divorced,Bachelor,0,1,0
1366,,700,4000,24,Female,Divorced,PhD,1,1,0
1359,45,300,2000,36,Female,Married,High School,0,1,0
1185,30,500,2000,24,Male,Single,PhD,0,1,0
1364,40,300,2000,36,Male,Single,PhD,0,1,0
1173,25,300,1000,12,Female,Married,Master,0,1,0
1359,25,1000,2000,6,Male,Single,High School,0,0,0
1117,35,500,4000,6,Male,Married,High School,1,0,0
1309,40,300,2000,6,Female,Married,PhD,1,1,0
1096,,700,4000,24,Female,Married,,1,0,0
1468,30,300,3000,36,Female,Married,Master,0,1,1
1020,35,500,4000,24,Male,Divorced,Bachelor,0,1,0
1323,45,,2000,6,Male,Married,High School,0,1,0
1287,25,700,3000,12,Male,Divorced,Master,0,0,0
1003,25,300,3000,6,Male,Single,High School,0,1,0
1247,,,4000,36,Male,Single,Master,1,1,0
1209,30,300,1000,24,,Married,,1,0,0
1228,30,500,2000,24,Male,Married,High School,0,1,0
1499,25,300,2000,36,,Divorced,Master,1,0,1
1496,25,700,2000,12,Male,Single,Bachelor,1,0,0
1006,40,700,1000,6,Male,Married,High School,1,1,0
1074,,300,4000,6,,Married,High School,1,1,0
1070,45,300,3000,6,Other,Single,Bachelor,0,0,0
1378,25,300,3000,36,Male,Married,Bachelor,1,0,0
1301,45,1000,1000,12,Male,Single,Master,0,1,0
1434,40,500,1000,36,Male,Married,,0,1,0
1213,,500,1000,36,Male,Divorced,,0,0,0
1148,35,700,3000,12,Female,Single,Master,1,0,0
1115,45,300,4000,36,Male,Single,High School,0,1,0
1375,30,700,2000,24,Male,Single,PhD,0,1,0
1187,35,1000,2000,24,Other,Married,High School,1,0,0
1007,35,500,3000,24,Female,Divorced,Bachelor,0,0,0
1157,40,500,4000,6,Female,Divorced,High School,0,0,0
1161,35,700,2000,24,Male,Married,High School,1,0,0
1182,45,300,3000,24,Female,Divorced,Master,1,0,0
1323,25,700,2000,24,Female,Divorced,Bachelor,0,1,1
1110,30,300,1000,12,Male,Single,High School,0,0,0
1051,35,500,3000,24,Female,Married,High School,0,0,0
1110,30,500,1000,36,Male,Single,Master,1,1,0
1424,35,1000,3000,24,Male,Divorced,PhD,0,0,0
1416,40,700,4000,24,Female,Married,Bachelor,1,1,0
1133,40,1000,3000,24,Female,Divorced,High School,1,1,0
1386,25,1000,3000,12,Male,Single,Bachelor,1,1,0
1348,45,300,4000,12,Male,Married,Bachelor,1,0,0
1347,,300,4000,6,Female,Married,High School,1,0,0
1049,,300,3000,36,Female,Single,Master,1,1,0
1001,25,300,1000,36,Male,Single,Bachelor,0,1,1
1440,40,500,3000,24,Female,Divorced,Master,1,1,0
1353,40,1000,1000,24,Male,Single,PhD,1,0,0
1323,30,300,2000,6,Male,Married,Master,1,0,1
1167,40,700,4000,24,Male,Single,High School,0,0,0
1075,25,700,4000,36,Male,Married,Master,0,0,0
1434,,500,2000,6,Female,Single,PhD,0,1,1
1045,25,500,3000,6,Male,Single,High School,1,0,0
1183,45,1000,3000,36,Male,Divorced,Bachelor,0,0,0
1184,40,300,1000,36,Male,Married,PhD,0,0,0
1045,35,300,1000,12,Male,Married,High School,1,0,1
1213,30,500,2000,36,Female,Divorced,High School,1,0,0
1234,25,700,4000,6,Female,Divorced,Bachelor,1,0,1
1300,35,300,3000,12,Male,Single,,1,0,0
1427,45,700,4000,6,Female,Married,Master,0,0,0
1099,45,700,4000,6,Female,Single,High School,1,1,0
1278,35,500,3000,12,,Married,High School,0,0,0
1086,35,500,3000,24,Male,Divorced,Bachelor,1,0,0
1214,35,700,1000,36,Male,Married,Bachelor,0,0,0
1399,40,300,2000,24,Male,Married,High School,1,0,0
1074,45,300,4000,12,Male,Single,Master,1,1,0
1158,40,300,2000,24,,Divorced,High School,1,0,0
1043,,500,3000,6,Female,Divorced,,1,0,0
1475,40,300,1000,24,Male,Divorced,PhD,1,1,0
1091,25,500,1000,36,Male,Divorced,High School,1,0,0
1365,25,500,4000,6,Female,Single,High School,1,1,0
1075,35,500,1000,24,Female,Married,Bachelor,1,1,0
1300,,700,4000,12,Female,Single,High School,0,0,0
1371,,,1000,24,Female,Married,Bachelor,1,1,0
1024,45,500,3000,24,Female,Single,Bachelor,1,1,0
1131,30,700,1000,6,Male,Single,High School,0,0,1
1044,30,700,2000,24,Female,Single,,0,0,0
1133,40,300,4000,12,Male,Married,Bachelor,0,0,0
1069,25,500,3000,6,Male,Single,Bachelor,1,0,1
1450,40,1000,3000,24,Female,Single,High School,0,1,0
1319,25,700,1000,24,Female,Divorced,High School,1,0,0
1108,30,1000,4000,36,Male,Divorced,Master,0,0,0
1174,25,500,2000,36,Female,Single,High School,0,0,0
1454,35,1000,4000,12,Male,Single,Master,0,1,0
1137,45,700,4000,36,Female,Single,Bachelor,0,0,1
1187,35,500,1000,6,Male,Single,Bachelor,0,1,0
1435,40,1000,1000,36,Female,Single,PhD,1,1,0
1226,25,1000,2000,6,Female,Divorced,Master,0,1,0
1430,25,700,3000,24,Male,Married,Bachelor,1,0,0
1410,35,1000,4000,12,Male,Divorced,PhD,1,1,0
1215,45,1000,2000,24,Other,Divorced,Master,1,1,0
1094,35,500,4000,36,Female,Single,,0,1,0
1029,40,700,3000,24,Male,Single,PhD,1,1,0
1134,25,1000,4000,12,Female,Married,PhD,0,1,0
1463,25,700,4000,36,Male,Married,Bachelor,0,0,0
1100,25,1000,2000,24,,Single,Bachelor,0,1,0
1112,30,,3000,24,Male,Married,Bachelor,1,0,0
1053,45,500,2000,36,Male,Single,Master,0,0,0
1223,35,1000,2000,12,Male,Single,PhD,0,0,0
1396,40,500,3000,12,Female,Married,Bachelor,1,1,1
1099,40,500,3000,24,Female,Divorced,High School,1,1,1
1086,35,300,2000,6,Male,Single,Master,1,1,0
1027,25,300,2000,36,Male,Married,,0,1,0
1104,25,700,1000,24,Male,Divorced,High School,1,0,0
1483,,500,4000,6,Male,Married,Bachelor,1,0,0
1301,45,500,4000,36,Male,Divorced,High School,1,1,0
1436,30,300,2000,24,Male,Divorced,Bachelor,1,1,0
1056,35,300,3000,36,Female,Divorced,High School,0,1,1
1336,25,700,3000,24,,Married,Master,1,0,0
1376,25,500,3000,24,Male,Divorced,Bachelor,1,1,0
1276,30,300,3000,24,Female,Married,Bachelor,0,0,0
1320,35,1000,2000,36,Female,Divorced,Master,1,1,0
1111,30,500,2000,36,Male,Divorced,Master,1,0,0
1445,25,700,2000,6,Male,Divorced,Bachelor,0,1,0
1483,25,700,1000,12,Male,Divorced,Bachelor,1,0,0
1270,45,500,3000,6,Other,Single,Bachelor,0,0,0
1078,25,700,4000,12,Female,Divorced,PhD,0,0,0
1452,40,700,2000,12,Male,Married,Bachelor,1,1,1
1065,25,300,1000,6,Male,Divorced,PhD,0,1,0
1085,30,500,2000,6,Male,Married,Bachelor,1,1,0
1437,35,500,2000,12,Other,Divorced,Bachelor,1,0,1
1382,30,300,1000,6,Male,Married,Bachelor,1,0,0
1119,35,300,2000,24,Female,Divorced,PhD,1,0,0
1400,30,500,4000,24,Male,Married,High School,0,1,0
1457,45,700,3000,12,Male,Single,Bachelor,1,1,1
1078,30,300,1000,24,Female,Married,High School,0,1,1
1083,25,700,2000,6,Male,Married,,0,1,0
1478,25,1000,4000,24,Female,Single,Bachelor,0,1,0
1125,30,500,4000,24,Female,Divorced,Bachelor,1,1,0
1307,25,500,2000,6,Female,Divorced,PhD,0,1,0
1155,40,1000,4000,6,Male,Divorced,,1,1,0
1387,40,500,1000,36,Male,Single,High School,0,1,0
1030,25,700,3000,6,Female,Single,PhD,0,0,1
1358,35,500,1000,12,Male,Divorced,Master,0,0,0
1389,35,1000,4000,36,Male,Single,Bachelor,1,1,1
1361,25,700,1000,36,Male,Divorced,PhD,1,0,0
1130,25,700,4000,24,Female,Divorced,Bachelor,0,1,1
1313,40,1000,3000,36,Male,Divorced,Bachelor,1,1,0
1282,35,500,4000,6,Male,Married,Master,1,0,0
1378,35,300,1000,6,Male,Married,Master,0,0,0
1414,25,1000,3000,6,Female,Single,Bachelor,0,0,0
1410,,1000,1000,36,Female,Single,Bachelor,1,1,0
1175,25,,3000,12,Male,Married,High School,0,0,0
1081,45,300,2000,6,Female,Divorced,Master,0,0,0
1481,25,1000,2000,24,Male,Married,PhD,1,1,1
1259,45,700,1000,12,Female,Single,High School,1,1,0
1290,40,1000,3000,12,Female,Single,Master,1,1,0
1365,45,,3000,36,Male,Single,High School,0,1,0
1265,25,1000,4000,12,Male,Single,Bachelor,1,1,0
1031,40,700,2000,6,,Married,Master,1,1,0
1450,30,700,3000,12,Female,Divorced,,0,0,0
1420,,300,2000,6,Female,Single,High School,1,1,0
1144,,700,2000,12,Male,Divorced,PhD,1,1,0
1037,40,300,1000,24,Other,Married,Bachelor,1,0,0
1455,,1000,4000,6,Female,Single,,1,0,0
1354,35,1000,2000,6,Male,Divorced,High School,0,1,0
1430,45,700,1000,36,Female,Divorced,High School,0,0,0
1033,25,300,3000,36,Female,Married,Bachelor,0,0,0
1440,30,500,3000,12,Female,Single,PhD,1,1,0
1221,30,500,4000,12,Male,Single,Master,0,0,0
1022,45,500,1000,12,Male,Single,Bachelor,1,1,0
1331,25,500,2000,24,Male,Married,Bachelor,0,0,0
